status,dataset,algo,alpha,beta,gamma,silhouette,db_inv,sse_term,elapsed,silhouette_n,db_inv_n,sse_term_n
OK,clean_flights,KMEANS,0.35,0.5,0.15,0.0,0.0,1.6302514893595799e-12,8.192755,0.0,0.0,0.6094160021154739
OK,clean_beers,KMEANSNF,0.35,0.5,0.15,0.0,0.0,4.3709480479492413e-13,24.353527,0.0,0.0,0.2885898326570621
OK,clean_flights,GMM,0.35,0.5,0.15,0.47124639363747484,0.9629085640785587,6.817879594223086e-13,19.45204,0.999999999997878,0.9999999999989615,0.2548640471936206
OK,clean_hospital,DBSCAN,0.35,0.5,0.15,0.0,0.0,0.0,3.720793,0.0,0.0,0.0
OK,clean_flights,KMEANSPPS,0.35,0.5,0.15,0.0,0.0,1.1943779298917434e-12,10.744092,0.0,0.0,0.44647898057465735
OK,clean_flights,HC,0.35,0.5,0.15,0.0,0.0,0.0,31.569018,0.0,0.0,0.0
OK,clean_hospital,HC,0.35,0.5,0.15,0.0,0.0,0.0,9.360972,0.0,0.0,0.0
OK,clean_hospital,GMM,0.35,0.5,0.15,0.3489388017572333,1.0133856724909853,5.966338534335591e-13,10.643179,0.9999999999971342,0.9999999999990131,0.36425997556245615
OK,clean_hospital,KMEANS,0.35,0.5,0.15,0.0,0.0,5.878630915390204e-13,6.228451,0.0,0.0,0.35890520480148963
OK,clean_hospital,KMEANSNF,0.35,0.5,0.15,0.0,0.0,3.957945082788683e-13,6.539715,0.0,0.0,0.2416425033271597
OK,clean_hospital,KMEANSPPS,0.35,0.5,0.15,0.0,0.0,5.806466418789569e-13,6.530682,0.0,0.0,0.3544993807576564
OK,clean_rayyan,DBSCAN,0.35,0.5,0.15,0.0,0.0,0.0,2.954254,0.0,0.0,0.0
OK,clean_rayyan,HC,0.35,0.5,0.15,0.0,0.0,0.0,4.183059,0.0,0.0,0.0
OK,clean_rayyan,GMM,0.35,0.5,0.15,0.5406882915630535,2.099066479366884,1.3905543383430086e-12,5.4708,0.9999999999981506,0.9999999999995236,0.16933639233314413
OK,clean_rayyan,KMEANS,0.35,0.5,0.15,0.0,0.0,7.211786723360092e-12,4.081763,0.0,0.0,0.8782238222096908
OK,clean_flights,KMEANSNF,0.35,0.5,0.15,0.0,0.0,5.59996493620929e-13,33.950052,0.0,0.0,0.20933630582065174
OK,clean_rayyan,KMEANSPPS,0.35,0.5,0.15,0.0,0.0,2.755462524817176e-12,2.329847,0.0,0.0,0.335549694316671
OK,clean_beers,DBSCAN,0.35,0.65,0.0,0.0,0.0,0.0,2.379246,0.0,0.0,0.0
OK,clean_rayyan,KMEANSNF,0.35,0.5,0.15,0.0,0.0,3.602673714908633e-12,4.38331,0.0,0.0,0.4387198348271878
OK,clean_beers,KMEANS,0.35,0.65,0.0,0.0,0.0,5.145883719137601e-13,6.7476,0.0,0.0,0.33975460359803983
OK,clean_beers,GMM,0.35,0.65,0.0,0.23241711174878305,0.8062802971477984,3.771427614651657e-13,11.897338,0.9999999999956973,0.9999999999987598,0.24900677204369823
